"","0","0.00015625","0.0003125","0.00046875","0.000625","0.00078125","0.0009375","0.00109375","0.00125","0.00140625","0.0015625","0.00171875","0.001875","0.00203125","0.0021875","0.00234375","0.0025","0.00265625","0.0028125","0.00296875","0.003125","0.00328125","0.0034375","0.00359375","0.00375","0.00390625","0.0040625","0.00421875","0.004375","0.00453125","0.0046875","0.00484375","0.005"
"0",0.953375,0.9535,0.9535,0.954,0.95425,0.95425,0.9544375,0.95425,0.954625,0.9548125,0.955,0.95525,0.955375,0.95525,0.95525,0.9554375,0.955625,0.9558125,0.9559375,0.9560625,0.9560625,0.9560625,0.9563125,0.9561875,0.9561875,0.9558125,0.95575,0.955625,0.9554375,0.9555,0.955625,0.9556875,0.9558125
"0.0625",0.953375,0.953625,0.9536875,0.9540625,0.9544375,0.9545,0.9545625,0.954625,0.955,0.9549375,0.95525,0.9555,0.9555,0.955375,0.955625,0.955625,0.9555,0.955625,0.9555625,0.955625,0.955625,0.9555,0.9554375,0.955375,0.9554375,0.9555625,0.9555,0.9555,0.955375,0.9554375,0.955375,0.95525,0.9553125
"0.125",0.953375,0.9535625,0.9539375,0.954375,0.9545,0.9545,0.954875,0.9549375,0.955125,0.9549375,0.9551875,0.9555625,0.9555625,0.9555625,0.9556875,0.9558125,0.9558125,0.955625,0.9555625,0.955625,0.9555625,0.955625,0.955375,0.9553125,0.9551875,0.9550625,0.9550625,0.9549375,0.9549375,0.9549375,0.9550625,0.955,0.9546875
"0.1875",0.953375,0.953625,0.9540625,0.9545,0.954375,0.95475,0.955125,0.9549375,0.95525,0.9554375,0.955375,0.9554375,0.9558125,0.955875,0.95575,0.9555625,0.9555,0.9554375,0.955375,0.955375,0.955375,0.955125,0.9551875,0.9553125,0.955125,0.9549375,0.955125,0.955,0.95475,0.9548125,0.9549375,0.95475,0.954625
"0.25",0.953375,0.95375,0.954125,0.9544375,0.954625,0.955,0.955,0.955375,0.9555,0.9556875,0.9555,0.955625,0.9554375,0.95575,0.9556875,0.9554375,0.955375,0.95525,0.955375,0.9553125,0.9551875,0.955125,0.955,0.954875,0.95475,0.9546875,0.95475,0.95475,0.95475,0.954875,0.955,0.9546875,0.9546875
"0.3125",0.953375,0.9536875,0.9543125,0.9545625,0.95475,0.9548125,0.9551875,0.9555,0.9556875,0.9554375,0.955375,0.9554375,0.9553125,0.9555,0.9555,0.955125,0.9550625,0.955125,0.955375,0.955,0.9549375,0.955,0.955,0.9549375,0.9549375,0.9549375,0.955125,0.955,0.9550625,0.9550625,0.95475,0.9546875,0.954375
"0.375",0.953375,0.95375,0.954375,0.9546875,0.9544375,0.9548125,0.955375,0.9554375,0.9554375,0.9553125,0.95525,0.9554375,0.9555,0.9555,0.95525,0.9553125,0.955375,0.95525,0.9550625,0.9550625,0.9546875,0.95475,0.954625,0.9548125,0.9549375,0.95475,0.954625,0.954375,0.954375,0.954125,0.9540625,0.954,0.953875
"0.4375",0.953375,0.95375,0.9544375,0.9546875,0.954625,0.9550625,0.9555,0.9553125,0.9555,0.95525,0.9555,0.955625,0.955375,0.9553125,0.95525,0.955375,0.955,0.9549375,0.954875,0.95475,0.9546875,0.954625,0.9545,0.9546875,0.9543125,0.954,0.954,0.954,0.95375,0.9538125,0.95375,0.95375,0.9538125
"0.5",0.953375,0.9539375,0.9543125,0.954375,0.9546875,0.9550625,0.955125,0.955125,0.955375,0.9555625,0.9553125,0.95525,0.9550625,0.9548125,0.9549375,0.9548125,0.95475,0.954875,0.95475,0.9545,0.954375,0.954125,0.954,0.9539375,0.954125,0.95375,0.9539375,0.95375,0.953625,0.95375,0.9536875,0.9536875,0.95325
